iter	Passed	Remaining
0	7	7989
1	15	7518
2	21	7296
3	28	7187
4	35	7110
5	42	7052
6	49	6995
7	56	6957
8	62	6915
9	69	6888
10	76	6868
11	83	6837
12	89	6818
13	96	6805
14	103	6794
15	110	6781
16	117	6773
17	123	6760
18	130	6749
19	137	6748
20	144	6744
21	151	6734
22	158	6724
23	165	6711
24	171	6696
25	178	6686
26	186	6713
27	193	6718
28	200	6709
29	207	6696
30	213	6684
31	220	6682
32	228	6697
33	235	6687
34	242	6675
35	248	6663
36	255	6649
37	262	6639
38	269	6633
39	276	6626
40	282	6614
41	289	6605
42	296	6600
43	303	6587
44	309	6577
45	316	6570
46	323	6561
47	330	6554
48	337	6546
49	344	6536
50	351	6535
51	358	6527
52	366	6543
53	373	6542
54	381	6548
55	388	6542
56	395	6543
57	402	6541
58	410	6542
59	417	6536
60	424	6536
61	432	6539
62	439	6533
63	446	6526
64	453	6517
65	459	6508
66	466	6499
67	473	6492
68	480	6481
69	486	6469
70	494	6471
71	501	6469
72	509	6465
73	516	6465
74	524	6465
75	531	6456
76	538	6458
77	546	6458
78	553	6455
79	561	6455
80	568	6453
81	575	6447
82	583	6444
83	590	6435
84	596	6425
85	603	6417
86	610	6405
87	617	6395
88	623	6383
89	630	6373
90	637	6364
91	643	6354
92	650	6344
93	657	6334
94	663	6324
95	670	6315
96	677	6306
97	684	6297
98	690	6286
99	697	6277
100	704	6269
101	711	6260
102	717	6251
103	724	6242
104	731	6236
105	738	6230
106	746	6227
107	752	6217
108	759	6207
109	766	6198
110	772	6189
111	779	6181
112	786	6173
113	793	6164
114	799	6155
115	806	6146
116	813	6138
117	820	6130
118	826	6122
119	833	6113
120	840	6104
121	846	6095
122	853	6087
123	860	6079
124	867	6070
125	874	6062
126	880	6054
127	887	6045
128	894	6036
129	900	6028
130	907	6019
131	915	6017
132	922	6011
133	929	6005
134	936	5998
135	943	5991
136	949	5983
137	956	5976
138	963	5968
139	970	5960
140	976	5951
141	983	5943
142	990	5934
143	996	5926
144	1003	5917
145	1010	5909
146	1016	5901
147	1023	5893
148	1030	5884
149	1036	5876
150	1043	5867
151	1050	5859
152	1056	5851
153	1063	5842
154	1070	5834
155	1076	5826
156	1083	5818
157	1090	5810
158	1097	5806
159	1105	5804
160	1113	5800
161	1119	5791
162	1126	5783
163	1133	5776
164	1140	5769
165	1146	5761
166	1153	5752
167	1159	5744
168	1166	5736
169	1173	5728
170	1180	5720
171	1186	5712
172	1193	5704
173	1199	5696
174	1206	5688
175	1213	5679
176	1219	5672
177	1226	5665
178	1233	5656
179	1240	5648
180	1246	5640
181	1253	5632
182	1260	5625
183	1266	5617
184	1273	5609
185	1279	5601
186	1287	5597
187	1294	5591
188	1301	5586
189	1308	5579
190	1315	5571
191	1322	5564
192	1329	5557
193	1335	5549
194	1342	5541
195	1348	5532
196	1355	5525
197	1362	5517
198	1368	5509
199	1375	5500
200	1381	5492
201	1388	5485
202	1395	5477
203	1402	5471
204	1408	5463
205	1415	5455
206	1422	5447
207	1428	5439
208	1435	5431
209	1441	5423
210	1448	5417
211	1455	5411
212	1462	5404
213	1469	5398
214	1477	5393
215	1484	5386
216	1490	5379
217	1497	5372
218	1504	5365
219	1511	5358
220	1518	5351
221	1524	5344
